PLACE;FIRST NAME;NAME;MAIL;
PLACE_1;Simon ;LORO;sim.lolo@mail.tbe;
PLACE_2;Nacim ;OULD-RABAH;sim.lolo@mail.tbe;
PLACE_3;Mathilde ;BRX;sim.lolo@mail.tbe;
PLACE_4;Amelie ;GATTEPAILLE;sim.lolo@mail.tbe;
PLACE_5;Ricky ;RICHARD;sim.lolo@mail.tbe;
PLACE_6;Lyesse;ZIOUCHE;sim.lolo@mail.tbe;
PLACE_7;Dylan;ROHART;sim.lolo@mail.tbe;
PLACE_8;Lorena;MARIA;sim.lolo@mail.tbe;
PLACE_9;Tina;TURNER;sim.lolo@mail.tbe;
PLACE_10;Jeremy;DECRETON;sim.lolo@mail.tbe;
PLACE_11;Florent;FLO;sim.lolo@mail.tbe;
PLACE_12;Messaoud;HOURI;sim.lolo@mail.tbe;
PLACE_13;Farid;FARID;sim.lolo@mail.tbe;
PLACE_14;Selim;COULOMBEL;sim.lolo@mail.tbe;
PLACE_15;Abdel-Karim ;ABDK;sim.lolo@mail.tbe;
PLACE_16;;;;
;;;;
